A	B	nA	nB	nU	nI	jaccard
100892	100902	28960124	29028667	35764104	22224687	0.621424
100892	100916	28960124	29209349	36793232	21376241	0.580983
100892	100954	28960124	28683732	35845891	21797965	0.608102
100892	100958	28960124	28731221	35846601	21844744	0.609395
100892	100959	28960124	28963241	36005221	21918144	0.608749
100892	100988	28960124	28508645	35685776	21782993	0.610411
100892	101003	28960124	29035155	36218873	21776406	0.601245
100892	101018	28960124	28868194	36236234	21592084	0.595870
100892	101023	28960124	28812651	36589328	21183447	0.578952
100892	101024	28960124	28597387	35939444	21618067	0.601514
100892	101025	28960124	28852980	36078539	21734565	0.602424
100892	101027	28960124	28653956	35721032	21893048	0.612890
100892	101040	28960124	29028325	36054926	21933523	0.608336
100892	101054	28960124	29104255	36726248	21338131	0.581005
