A	B	nA	nB	nU	nI	jaccard
100758	100759	29124879	29090454	35231445	22983888	0.652369
100758	100760	29124879	29410487	35509694	23025672	0.648433
100758	100761	29124879	28951231	35603212	22472898	0.631204
100758	100763	29124879	29283716	35511053	22897542	0.644800
100758	100764	29124879	29277283	35449135	22953027	0.647492
100758	100765	29124879	29113385	35191220	23047044	0.654909
100758	100766	29124879	29400535	35375652	23149762	0.654398
100758	100778	29124879	29171201	37163167	21132913	0.568652
100758	100784	29124879	29266264	35316602	23074541	0.653362
100758	100787	29124879	29031144	35880853	22275170	0.620809
100758	100792	29124879	29368745	35548124	22945500	0.645477
100758	100800	29124879	28702931	35311260	22516550	0.637659
100758	100805	29124879	29195372	35461868	22858383	0.644590
100758	100838	29124879	28848865	35179564	22794180	0.647938
100758	100852	29124879	28883223	36084829	21923273	0.607548
100758	100861	29124879	29116771	35352449	22889201	0.647457
100758	100862	29124879	28928693	36613014	21440558	0.585599
100758	100891	29124879	29266191	35763844	22627226	0.632684
100758	100892	29124879	28960124	35607402	22477601	0.631262
100758	100902	29124879	29028667	37089019	21064527	0.567945
100758	100916	29124879	29209349	35988431	22345797	0.620916
100758	100954	29124879	28683732	34830240	22978371	0.659725
100758	100958	29124879	28731221	35121872	22734228	0.647295
100758	100959	29124879	28963241	35397952	22690168	0.641002
100758	100988	29124879	28508645	34080102	23553422	0.691119
100758	101003	29124879	29035155	35240223	22919811	0.650388
100758	101018	29124879	28868194	34709919	23283154	0.670793
100758	101023	29124879	28812651	35756913	22180617	0.620317
100758	101024	29124879	28597387	34874841	22847425	0.655126
100758	101025	29124879	28852980	35225318	22752541	0.645914
100758	101027	29124879	28653956	35153834	22625001	0.643600
100758	101040	29124879	29028325	34907485	23245719	0.665924
100758	101054	29124879	29104255	36665224	21563910	0.588130
