A	B	nA	nB	nU	nI	jaccard
100954	100958	28683732	28731221	34641902	22773051	0.657385
100954	100959	28683732	28963241	34654080	22992893	0.663497
100954	100988	28683732	28508645	34141560	23050817	0.675154
100954	101003	28683732	29035155	29384214	28334673	0.964282
100954	101018	28683732	28868194	34478258	23073668	0.669224
100954	101023	28683732	28812651	35356139	22140244	0.626206
100954	101024	28683732	28597387	34018459	23262660	0.683825
100954	101025	28683732	28852980	34531620	23005092	0.666204
100954	101027	28683732	28653956	34091429	23246259	0.681880
100954	101040	28683732	29028325	34766088	22945969	0.660010
100954	101054	28683732	29104255	36274014	21513973	0.593096
