A	B	nA	nB	nU	nI	jaccard
100335	100395	28741437	29063278	36642354	21162361	0.577538
100335	100516	28741437	28638475	36347827	21032085	0.578634
100335	100563	28741437	28620567	36410180	20951824	0.575439
100335	100645	28741437	29331544	37034965	21038016	0.568058
100335	100673	28741437	29085373	36591513	21235297	0.580334
100335	100677	28741437	29090209	36822057	21009589	0.570571
100335	100683	28741437	29177370	36995303	20923504	0.565572
100335	100685	28741437	29318604	37172765	20887276	0.561897
100335	100691	28741437	29198603	37046989	20893051	0.563961
100335	100692	28741437	28736303	36502693	20975047	0.574616
100335	100697	28741437	29669826	37260243	21151020	0.567657
100335	100703	28741437	29016953	36863874	20894516	0.566802
100335	100705	28741437	29111523	36981486	20871474	0.564376
100335	100707	28741437	29018556	36799044	20960949	0.569606
100335	100709	28741437	28690459	36596627	20835269	0.569322
100335	100715	28741437	29418378	37342252	20817563	0.557480
100335	100725	28741437	29406610	37103017	21045030	0.567205
100335	100727	28741437	29128483	36645563	21224357	0.579179
100335	100728	28741437	29175098	36896385	21020150	0.569708
100335	100742	28741437	29702590	37335250	21108777	0.565385
100335	100745	28741437	29019748	36711815	21049370	0.573368
100335	100751	28741437	29168633	36887879	21022191	0.569894
100335	100753	28741437	29142866	36856528	21027775	0.570531
100335	100755	28741437	29081003	36683009	21139431	0.576273
100335	100758	28741437	29124879	36589587	21276729	0.581497
100335	100759	28741437	29090454	36688269	21143622	0.576305
100335	100760	28741437	29410487	37117173	21034751	0.566712
100335	100761	28741437	28951231	35931688	21760980	0.605621
100335	100763	28741437	29283716	36974366	21050787	0.569335
100335	100764	28741437	29277283	37049530	20969190	0.565977
100335	100765	28741437	29113385	36741563	21113259	0.574642
100335	100766	28741437	29400535	37106489	21035483	0.566895
100335	100778	28741437	29171201	37215796	20696842	0.556131
100335	100784	28741437	29266264	36671901	21335800	0.581802
100335	100787	28741437	29031144	36958998	20813583	0.563153
100335	100792	28741437	29368745	37058338	21051844	0.568073
100335	100800	28741437	28702931	36237494	21206874	0.585219
100335	100805	28741437	29195372	36906141	21030668	0.569842
100335	100838	28741437	28848865	35778031	21812271	0.609655
100335	100852	28741437	28883223	35865486	21759174	0.606688
100335	100861	28741437	29116771	36446922	21411286	0.587465
100335	100862	28741437	28928693	35136671	22533459	0.641309
100335	100891	28741437	29266191	36684123	21323505	0.581273
100335	100892	28741437	28960124	35465969	22235592	0.626956
100335	100902	28741437	29028667	34587139	23182965	0.670277
100335	100916	28741437	29209349	37101999	20848787	0.561932
100335	100954	28741437	28683732	36292311	21132858	0.582296
100335	100958	28741437	28731221	36080161	21392497	0.592916
100335	100959	28741437	28963241	36571699	21132979	0.577851
100335	100988	28741437	28508645	36082337	21167745	0.586651
100335	101003	28741437	29035155	36678478	21098114	0.575218
100335	101018	28741437	28868194	36564826	21044805	0.575548
100335	101023	28741437	28812651	36790956	20763132	0.564354
100335	101024	28741437	28597387	36318863	21019961	0.578762
100335	101025	28741437	28852980	36740266	20854151	0.567610
100335	101027	28741437	28653956	36243354	21152039	0.583612
100335	101040	28741437	29028325	36502113	21267649	0.582642
100335	101054	28741437	29104255	36598199	21247493	0.580561
