A	B	nA	nB	nU	nI	jaccard
100728	100742	29175098	29702590	36107374	22770314	0.630628
100728	100745	29175098	29019748	35394630	22800216	0.644172
100728	100751	29175098	29168633	35333283	23010448	0.651240
100728	100753	29175098	29142866	35297011	23020953	0.652207
100728	100755	29175098	29081003	35378572	22877529	0.646649
100728	100758	29175098	29124879	35321467	22978510	0.650554
100728	100759	29175098	29090454	35354411	22911141	0.648042
100728	100760	29175098	29410487	35519455	23066130	0.649394
100728	100761	29175098	28951231	35979976	22146353	0.615519
100728	100763	29175098	29283716	35758431	22700383	0.634826
100728	100764	29175098	29277283	35713404	22738977	0.636707
100728	100765	29175098	29113385	35395520	22892963	0.646776
100728	100766	29175098	29400535	35654833	22920800	0.642853
100728	100778	29175098	29171201	36985779	21360520	0.577533
100728	100784	29175098	29266264	35700743	22740619	0.636979
100728	100787	29175098	29031144	36047216	22159026	0.614722
100728	100792	29175098	29368745	35811666	22732177	0.634770
100728	100800	29175098	28702931	35531420	22346609	0.628925
100728	100805	29175098	29195372	35570683	22799787	0.640971
100728	100838	29175098	28848865	35506255	22517708	0.634190
100728	100852	29175098	28883223	36383567	21674754	0.595729
100728	100861	29175098	29116771	35962229	22329640	0.620919
100728	100862	29175098	28928693	36909833	21193958	0.574209
100728	100891	29175098	29266191	36190721	22250568	0.614814
100728	100892	29175098	28960124	36320494	21814728	0.600618
100728	100902	29175098	29028667	37207728	20996037	0.564292
100728	100916	29175098	29209349	36100155	22284292	0.617291
100728	100954	29175098	28683732	35121012	22737818	0.647414
100728	100958	29175098	28731221	35269390	22636929	0.641829
100728	100959	29175098	28963241	35602446	22535893	0.632987
100728	100988	29175098	28508645	34743315	22940428	0.660283
100728	101003	29175098	29035155	35520530	22689723	0.638778
100728	101018	29175098	28868194	35333213	22710079	0.642740
100728	101023	29175098	28812651	35925472	22062277	0.614112
100728	101024	29175098	28597387	35407961	22364524	0.631624
100728	101025	29175098	28852980	35482592	22545486	0.635396
100728	101027	29175098	28653956	35264273	22564781	0.639877
100728	101040	29175098	29028325	35255090	22948333	0.650923
100728	101054	29175098	29104255	36978089	21301264	0.576051
