A	B	nA	nB	nU	nI	jaccard
100805	100838	29195372	28848865	35813816	22230421	0.620722
100805	100852	29195372	28883223	36529158	21549437	0.589924
100805	100861	29195372	29116771	36002287	22309856	0.619679
100805	100862	29195372	28928693	36990130	21133935	0.571340
100805	100891	29195372	29266191	36121058	22340505	0.618490
100805	100892	29195372	28960124	36490575	21664921	0.593713
100805	100902	29195372	29028667	37266719	20957320	0.562360
100805	100916	29195372	29209349	35446370	22958351	0.647693
100805	100954	29195372	28683732	35072842	22806262	0.650254
100805	100958	29195372	28731221	35471178	22455415	0.633061
100805	100959	29195372	28963241	35410363	22748250	0.642418
100805	100988	29195372	28508645	34752386	22951631	0.660433
100805	101003	29195372	29035155	35271281	22959246	0.650933
100805	101018	29195372	28868194	35035852	23027714	0.657261
100805	101023	29195372	28812651	35471375	22536648	0.635347
100805	101024	29195372	28597387	34838859	22953900	0.658859
100805	101025	29195372	28852980	35121135	22927217	0.652804
100805	101027	29195372	28653956	35091578	22757750	0.648525
100805	101040	29195372	29028325	35140463	23083234	0.656885
100805	101054	29195372	29104255	37191121	21108506	0.567568
