A	B	nA	nB	nU	nI	jaccard
100130	100158	28851047	29117797	34720356	23248488	0.669592
100130	100208	28851047	28623001	36714608	20759440	0.565427
100130	100226	28851047	29321742	36992626	21180163	0.572551
100130	100282	28851047	28705314	36446528	21109833	0.579200
100130	100300	28851047	29309918	37031233	21129732	0.570592
100130	100302	28851047	29263231	36928461	21185817	0.573699
100130	100303	28851047	29494967	37321908	21024106	0.563318
100130	100304	28851047	29177429	36848841	21179635	0.574771
100130	100305	28851047	29510715	37333747	21028015	0.563244
100130	100306	28851047	29374442	37175696	21049793	0.566225
100130	100307	28851047	29123214	36815149	21159112	0.574739
100130	100309	28851047	29070457	36733332	21188172	0.576811
100130	100310	28851047	28959338	36609202	21201183	0.579122
100130	100312	28851047	29206923	37045427	21012543	0.567210
100130	100313	28851047	29053741	36665661	21239127	0.579265
100130	100320	28851047	29474561	36937145	21388463	0.579050
100130	100331	28851047	29108113	36686735	21272425	0.579840
100130	100335	28851047	28741437	33862502	23729982	0.700775
100130	100395	28851047	29063278	36686904	21227421	0.578610
100130	100516	28851047	28638475	36411290	21078232	0.578893
100130	100563	28851047	28620567	36386700	21084914	0.579468
100130	100645	28851047	29331544	37004733	21177858	0.572301
100130	100673	28851047	29085373	36723793	21212627	0.577626
100130	100677	28851047	29090209	36953840	20987416	0.567936
100130	100683	28851047	29177370	37094478	20933939	0.564341
100130	100685	28851047	29318604	37212684	20956967	0.563167
100130	100691	28851047	29198603	37107449	20942201	0.564366
100130	100692	28851047	28736303	36517452	21069898	0.576982
100130	100697	28851047	29669826	37441139	21079734	0.563010
100130	100703	28851047	29016953	36922639	20945361	0.567277
100130	100705	28851047	29111523	37048504	20914066	0.564505
100130	100707	28851047	29018556	36783205	21086398	0.573262
100130	100709	28851047	28690459	36728797	20812709	0.566659
100130	100715	28851047	29418378	37399563	20869862	0.558024
100130	100725	28851047	29406610	37178511	21079146	0.566971
100130	100727	28851047	29128483	36653095	21326435	0.581845
100130	100728	28851047	29175098	37070850	20955295	0.565277
100130	100742	28851047	29702590	37422045	21131592	0.564683
100130	100745	28851047	29019748	36917671	20953124	0.567564
100130	100751	28851047	29168633	37032058	20987622	0.566742
100130	100753	28851047	29142866	36988411	21005502	0.567894
100130	100755	28851047	29081003	36857003	21075047	0.571806
100130	100758	28851047	29124879	36766599	21209327	0.576864
100130	100759	28851047	29090454	36782412	21159089	0.575250
100130	100760	28851047	29410487	37132343	21129191	0.569024
100130	100761	28851047	28951231	35898659	21903619	0.610151
100130	100763	28851047	29283716	36995827	21138936	0.571387
100130	100764	28851047	29277283	37087132	21041198	0.567345
100130	100765	28851047	29113385	36890565	21073867	0.571254
100130	100766	28851047	29400535	37177612	21073970	0.566846
100130	100778	28851047	29171201	37197274	20824974	0.559852
100130	100784	28851047	29266264	36852437	21264874	0.577028
100130	100787	28851047	29031144	36979392	20902799	0.565255
100130	100792	28851047	29368745	37141668	21078124	0.567506
100130	100800	28851047	28702931	36358565	21195413	0.582955
100130	100805	28851047	29195372	37083126	20963293	0.565305
100130	100838	28851047	28848865	36135470	21564442	0.596767
100130	100852	28851047	28883223	35786699	21947571	0.613289
100130	100861	28851047	29116771	36601716	21366102	0.583746
100130	100862	28851047	28928693	34901983	22877757	0.655486
100130	100891	28851047	29266191	36707833	21409405	0.583238
100130	100892	28851047	28960124	35390152	22421019	0.633538
100130	100902	28851047	29028667	34637957	23241757	0.670991
100130	100916	28851047	29209349	37185048	20875348	0.561391
100130	100954	28851047	28683732	36301634	21233145	0.584909
100130	100958	28851047	28731221	36082104	21500164	0.595868
100130	100959	28851047	28963241	36681081	21133207	0.576134
100130	100988	28851047	28508645	36310084	21049608	0.579718
100130	101003	28851047	29035155	36669042	21217160	0.578612
100130	101018	28851047	28868194	36729927	20989314	0.571450
100130	101023	28851047	28812651	36903059	20760639	0.562572
100130	101024	28851047	28597387	36344953	21103481	0.580644
100130	101025	28851047	28852980	36699671	21004356	0.572331
100130	101027	28851047	28653956	36485527	21019476	0.576104
100130	101040	28851047	29028325	36660068	21219304	0.578812
100130	101054	28851047	29104255	36520012	21435290	0.586946
