A	B	nA	nB	nU	nI	jaccard
100787	100792	29031144	29368745	36012575	22387314	0.621653
100787	100800	29031144	28702931	35499355	22234720	0.626342
100787	100805	29031144	29195372	35485282	22741234	0.640864
100787	100838	29031144	28848865	36071155	21808854	0.604606
100787	100852	29031144	28883223	36397921	21516446	0.591145
100787	100861	29031144	29116771	36425411	21722504	0.596356
100787	100862	29031144	28928693	36942041	21017796	0.568940
100787	100891	29031144	29266191	36442497	21854838	0.599707
100787	100892	29031144	28960124	36733510	21257758	0.578702
100787	100902	29031144	29028667	37278100	20781711	0.557478
100787	100916	29031144	29209349	33356434	24884059	0.746005
100787	100954	29031144	28683732	35485795	22229081	0.626422
100787	100958	29031144	28731221	35792253	21970112	0.613823
100787	100959	29031144	28963241	35740985	22253400	0.622630
100787	100988	29031144	28508645	35325599	22214190	0.628841
100787	101003	29031144	29035155	35788068	22278231	0.622504
100787	101018	29031144	28868194	35567560	22331778	0.627869
100787	101023	29031144	28812651	32067742	25776053	0.803800
100787	101024	29031144	28597387	35420215	22208316	0.626996
100787	101025	29031144	28852980	35638393	22245731	0.624207
100787	101027	29031144	28653956	35536480	22148620	0.623264
100787	101040	29031144	29028325	35685042	22374427	0.626997
100787	101054	29031144	29104255	36972640	21162759	0.572390
