A	B	nA	nB	nU	nI	jaccard
100765	100766	29113385	29400535	35215559	23298361	0.661593
100765	100778	29113385	29171201	37317739	20966847	0.561847
100765	100784	29113385	29266264	35182637	23197012	0.659331
100765	100787	29113385	29031144	35580159	22564370	0.634184
100765	100792	29113385	29368745	35717520	22764610	0.637351
100765	100800	29113385	28702931	35190606	22625710	0.642947
100765	100805	29113385	29195372	35340059	22968698	0.649934
100765	100838	29113385	28848865	35562252	22399998	0.629881
100765	100852	29113385	28883223	36268229	21728379	0.599102
100765	100861	29113385	29116771	35707634	22522522	0.630748
100765	100862	29113385	28928693	36859905	21182173	0.574667
100765	100891	29113385	29266191	35958130	22421446	0.623543
100765	100892	29113385	28960124	36402320	21671189	0.595324
100765	100902	29113385	29028667	37067806	21074246	0.568532
100765	100916	29113385	29209349	35468821	22853913	0.644338
100765	100954	29113385	28683732	34555966	23241151	0.672566
100765	100958	29113385	28731221	35069219	22775387	0.649441
100765	100959	29113385	28963241	35230190	22846436	0.648490
100765	100988	29113385	28508645	34308357	23313673	0.679533
100765	101003	29113385	29035155	35001596	23146944	0.661311
100765	101018	29113385	28868194	34142810	23838769	0.698208
100765	101023	29113385	28812651	35555673	22370363	0.629164
100765	101024	29113385	28597387	34909591	22801181	0.653149
100765	101025	29113385	28852980	34743948	23222417	0.668387
100765	101027	29113385	28653956	34777767	22989574	0.661042
100765	101040	29113385	29028325	35118094	23023616	0.655606
100765	101054	29113385	29104255	36882268	21335372	0.578472
