A	B	nA	nB	nU	nI	jaccard
100763	100764	29283716	29277283	35467855	23093144	0.651101
100763	100765	29283716	29113385	34590237	23806864	0.688254
100763	100766	29283716	29400535	35312463	23371788	0.661857
100763	100778	29283716	29171201	37417423	21037494	0.562238
100763	100784	29283716	29266264	35352309	23197671	0.656185
100763	100787	29283716	29031144	35440168	22874692	0.645445
100763	100792	29283716	29368745	35887369	22765092	0.634348
100763	100800	29283716	28702931	35255483	22731164	0.644755
100763	100805	29283716	29195372	35143081	23336007	0.664028
100763	100838	29283716	28848865	35894937	22237644	0.619520
100763	100852	29283716	28883223	36565110	21601829	0.590777
100763	100861	29283716	29116771	36088676	22311811	0.618250
100763	100862	29283716	28928693	36888276	21324133	0.578073
100763	100891	29283716	29266191	35937675	22612232	0.629207
100763	100892	29283716	28960124	36573807	21670033	0.592501
100763	100902	29283716	29028667	37276294	21036089	0.564329
100763	100916	29283716	29209349	35323065	23170000	0.655945
100763	100954	29283716	28683732	35137126	22830322	0.649749
100763	100958	29283716	28731221	35284640	22730297	0.644198
100763	100959	29283716	28963241	35389328	22857629	0.645890
100763	100988	29283716	28508645	34834671	22957690	0.659047
100763	101003	29283716	29035155	35549563	22769308	0.640495
100763	101018	29283716	28868194	34757571	23394339	0.673072
100763	101023	29283716	28812651	35227861	22868506	0.649160
100763	101024	29283716	28597387	35071344	22809759	0.650382
100763	101025	29283716	28852980	35218243	22918453	0.650755
100763	101027	29283716	28653956	35130208	22807464	0.649227
100763	101040	29283716	29028325	35250802	23061239	0.654205
100763	101054	29283716	29104255	36973877	21414094	0.579168
