A	B	nA	nB	nU	nI	jaccard
100042	100043	29329344	28910910	36709435	21530819	0.586520
100042	100047	29329344	29087439	36924818	21491965	0.582047
100042	100053	29329344	29425409	37278034	21476719	0.576123
100042	100108	29329344	28901223	36732955	21497612	0.585240
100042	100130	29329344	28851047	36825171	21355220	0.579908
100042	100158	29329344	29117797	37051863	21395278	0.577441
100042	100208	29329344	28623001	36757657	21194688	0.576606
100042	100226	29329344	29321742	37067313	21583773	0.582286
100042	100282	29329344	28705314	36558951	21475707	0.587427
100042	100300	29329344	29309918	37050499	21588763	0.582685
100042	100302	29329344	29263231	36989934	21602641	0.584014
100042	100303	29329344	29494967	37293489	21530822	0.577335
100042	100304	29329344	29177429	36969036	21537737	0.582589
100042	100305	29329344	29510715	37168279	21671780	0.583072
100042	100306	29329344	29374442	37218609	21485177	0.577270
100042	100307	29329344	29123214	36910704	21541854	0.583621
100042	100309	29329344	29070457	36766680	21633121	0.588389
100042	100310	29329344	28959338	36573294	21715388	0.593750
100042	100312	29329344	29206923	37087680	21448587	0.578321
100042	100313	29329344	29053741	36732214	21650871	0.589425
100042	100320	29329344	29474561	37139825	21664080	0.583311
100042	100331	29329344	29108113	36919396	21518061	0.582839
100042	100335	29329344	28741437	36866811	21203970	0.575151
100042	100395	29329344	29063278	36873126	21519496	0.583609
100042	100516	29329344	28638475	36553669	21414150	0.585828
100042	100563	29329344	28620567	36574150	21375761	0.584450
100042	100645	29329344	29331544	37115415	21545473	0.580499
100042	100673	29329344	29085373	36745066	21669651	0.589730
100042	100677	29329344	29090209	36864369	21555184	0.584716
100042	100683	29329344	29177370	36930197	21576517	0.584251
100042	100685	29329344	29318604	37108650	21539298	0.580439
100042	100691	29329344	29198603	37171708	21356239	0.574529
100042	100692	29329344	28736303	36606273	21459374	0.586221
100042	100697	29329344	29669826	37487588	21511582	0.573832
100042	100703	29329344	29016953	37034294	21312003	0.575467
100042	100705	29329344	29111523	37075350	21365517	0.576273
100042	100707	29329344	29018556	36789766	21558134	0.585982
100042	100709	29329344	28690459	36823689	21196114	0.575611
100042	100715	29329344	29418378	37643268	21104454	0.560644
100042	100725	29329344	29406610	37251691	21484263	0.576733
100042	100727	29329344	29128483	35876376	22581451	0.629424
100042	100728	29329344	29175098	36946712	21557730	0.583482
100042	100742	29329344	29702590	37462460	21569474	0.575762
100042	100745	29329344	29019748	37028757	21320335	0.575778
100042	100751	29329344	29168633	36991731	21506246	0.581380
100042	100753	29329344	29142866	36994255	21477955	0.580575
100042	100755	29329344	29081003	36851021	21559326	0.585040
100042	100758	29329344	29124879	36621568	21832655	0.596169
100042	100759	29329344	29090454	36738977	21680821	0.590131
100042	100760	29329344	29410487	37157360	21582471	0.580840
100042	100761	29329344	28951231	36904708	21375867	0.579218
