A	B	nA	nB	nU	nI	jaccard
100304	100305	29177429	29510715	35255874	23432270	0.664634
100304	100306	29177429	29374442	35473882	23077989	0.650563
100304	100307	29177429	29123214	34676378	23624265	0.681278
100304	100309	29177429	29070457	34640170	23607716	0.681513
100304	100310	29177429	28959338	34591399	23545368	0.680671
100304	100312	29177429	29206923	35012811	23371541	0.667514
100304	100313	29177429	29053741	35042892	23188278	0.661711
100304	100320	29177429	29474561	35955182	22696808	0.631253
100304	100331	29177429	29108113	35112464	23173078	0.659967
100304	100335	29177429	28741437	36755830	21163036	0.575774
100304	100395	29177429	29063278	34459657	23781050	0.690113
100304	100516	29177429	28638475	34382199	23433705	0.681565
100304	100563	29177429	28620567	34433586	23364410	0.678535
100304	100645	29177429	29331544	34960399	23548574	0.673579
100304	100673	29177429	29085373	34776362	23486440	0.675356
100304	100677	29177429	29090209	35635425	22632213	0.635104
100304	100683	29177429	29177370	35615147	22739652	0.638483
100304	100685	29177429	29318604	35902277	22593756	0.629313
100304	100691	29177429	29198603	35783195	22592837	0.631381
100304	100692	29177429	28736303	34397719	23516013	0.683650
100304	100697	29177429	29669826	35363983	23483272	0.664045
100304	100703	29177429	29016953	35764256	22430126	0.627166
100304	100705	29177429	29111523	35738279	22550673	0.630995
100304	100707	29177429	29018556	35528352	22667633	0.638015
100304	100709	29177429	28690459	35410348	22457540	0.634208
100304	100715	29177429	29418378	37075888	21519919	0.580429
100304	100725	29177429	29406610	35985029	22599010	0.628011
100304	100727	29177429	29128483	36304219	22001693	0.606037
100304	100728	29177429	29175098	35475990	22876537	0.644846
100304	100742	29177429	29702590	35652622	23227397	0.651492
100304	100745	29177429	29019748	35871153	22326024	0.622395
100304	100751	29177429	29168633	35337482	23008580	0.651110
100304	100753	29177429	29142866	34761957	23558338	0.677705
100304	100755	29177429	29081003	34798686	23459746	0.674156
100304	100758	29177429	29124879	35237554	23064754	0.654550
100304	100759	29177429	29090454	34769572	23498311	0.675830
100304	100760	29177429	29410487	35148427	23439489	0.666872
100304	100761	29177429	28951231	35700175	22428485	0.628246
100304	100763	29177429	29283716	34988450	23472695	0.670870
100304	100764	29177429	29277283	35086158	23368554	0.666033
100304	100765	29177429	29113385	34847413	23443401	0.672744
100304	100766	29177429	29400535	35446537	23131427	0.652572
100304	100778	29177429	29171201	37302569	21046061	0.564199
100304	100784	29177429	29266264	35155411	23288282	0.662438
100304	100787	29177429	29031144	35873692	22334881	0.622598
100304	100792	29177429	29368745	35332147	23214027	0.657023
100304	100800	29177429	28702931	35019621	22860739	0.652798
100304	100805	29177429	29195372	35515412	22857389	0.643591
100304	100838	29177429	28848865	35643178	22383116	0.627978
100304	100852	29177429	28883223	36097543	21963109	0.608438
100304	100861	29177429	29116771	35782444	22511756	0.629129
100304	100862	29177429	28928693	36647693	21458429	0.585533
100304	100891	29177429	29266191	35724409	22719211	0.635958
100304	100892	29177429	28960124	36270005	21867548	0.602910
100304	100902	29177429	29028667	37016770	21189326	0.572425
100304	100916	29177429	29209349	35896736	22490042	0.626521
100304	100954	29177429	28683732	34498485	23362676	0.677209
100304	100958	29177429	28731221	34608379	23300271	0.673255
100304	100959	29177429	28963241	35037312	23103358	0.659393
100304	100988	29177429	28508645	34403001	23283073	0.676774
100304	101003	29177429	29035155	34959799	23252785	0.665129
100304	101018	29177429	28868194	34727834	23317789	0.671444
100304	101023	29177429	28812651	35711696	22278384	0.623840
100304	101024	29177429	28597387	34909618	22865198	0.654983
100304	101025	29177429	28852980	34911200	23119209	0.662229
100304	101027	29177429	28653956	34812476	23018909	0.661226
100304	101040	29177429	29028325	35093465	23112289	0.658592
100304	101054	29177429	29104255	36766760	21514924	0.585173
