A	B	nA	nB	nU	nI	jaccard
100300	100302	29309918	29263231	33880244	24692905	0.728829
100300	100303	29309918	29494967	34517014	24287871	0.703649
100300	100304	29309918	29177429	34906241	23581106	0.675556
100300	100305	29309918	29510715	34140661	24679972	0.722891
100300	100306	29309918	29374442	34829794	23854566	0.684890
100300	100307	29309918	29123214	35224753	23208379	0.658866
100300	100309	29309918	29070457	35105357	23275018	0.663005
100300	100310	29309918	28959338	35000562	23268694	0.664809
100300	100312	29309918	29206923	34236925	24279916	0.709173
100300	100313	29309918	29053741	35269583	23094076	0.654787
100300	100320	29309918	29474561	36106526	22677953	0.628085
100300	100331	29309918	29108113	35655947	22762084	0.638381
100300	100335	29309918	28741437	37057203	20994152	0.566534
100300	100395	29309918	29063278	35434306	22938890	0.647364
100300	100516	29309918	28638475	35040715	22907678	0.653745
100300	100563	29309918	28620567	33823559	24106926	0.712726
100300	100645	29309918	29331544	35458041	23183421	0.653827
100300	100673	29309918	29085373	35045283	23350008	0.666281
100300	100677	29309918	29090209	35652579	22747548	0.638034
100300	100683	29309918	29177370	35465554	23021734	0.649129
100300	100685	29309918	29318604	35677041	22951481	0.643312
100300	100691	29309918	29198603	35493610	23014911	0.648424
100300	100692	29309918	28736303	29522552	28523669	0.966165
100300	100697	29309918	29669826	35290032	23689712	0.671286
100300	100703	29309918	29016953	35483700	22843171	0.643765
100300	100705	29309918	29111523	35544020	22877421	0.643636
100300	100707	29309918	29018556	35601144	22727330	0.638388
100300	100709	29309918	28690459	35334204	22666173	0.641480
100300	100715	29309918	29418378	37247066	21481230	0.576723
100300	100725	29309918	29406610	36151605	22564923	0.624175
100300	100727	29309918	29128483	36503994	21934407	0.600877
100300	100728	29309918	29175098	35533449	22951567	0.645914
100300	100742	29309918	29702590	35197954	23814554	0.676589
100300	100745	29309918	29019748	35910697	22418969	0.624298
100300	100751	29309918	29168633	35408474	23070077	0.651541
100300	100753	29309918	29142866	35126491	23326293	0.664066
100300	100755	29309918	29081003	35375090	23015831	0.650623
100300	100758	29309918	29124879	34933554	23501243	0.672741
100300	100759	29309918	29090454	35210405	23189967	0.658611
100300	100760	29309918	29410487	34499546	24220859	0.702063
100300	100761	29309918	28951231	35748194	22512955	0.629765
100300	100763	29309918	29283716	35390388	23203246	0.655637
100300	100764	29309918	29277283	34266976	24320225	0.709728
100300	100765	29309918	29113385	35271060	23152243	0.656409
100300	100766	29309918	29400535	34660498	24049955	0.693872
100300	100778	29309918	29171201	37408181	21072938	0.563324
100300	100784	29309918	29266264	35550563	23025619	0.647686
100300	100787	29309918	29031144	35561467	22779595	0.640570
100300	100792	29309918	29368745	35229665	23448998	0.665604
100300	100800	29309918	28702931	35340504	22672345	0.641540
100300	100805	29309918	29195372	35010158	23495132	0.671095
100300	100838	29309918	28848865	35695418	22463365	0.629307
100300	100852	29309918	28883223	36338300	21854841	0.601427
100300	100861	29309918	29116771	35886110	22540579	0.628114
100300	100862	29309918	28928693	36881909	21356702	0.579056
100300	100891	29309918	29266191	36095919	22480190	0.622790
100300	100892	29309918	28960124	36484983	21785059	0.597097
100300	100902	29309918	29028667	37350792	20987793	0.561910
100300	100916	29309918	29209349	35569584	22949683	0.645205
100300	100954	29309918	28683732	34940641	23053009	0.659776
100300	100958	29309918	28731221	35178696	22862443	0.649895
100300	100959	29309918	28963241	35553811	22719348	0.639013
100300	100988	29309918	28508645	34629404	23189159	0.669638
100300	101003	29309918	29035155	35129803	23215270	0.660843
100300	101018	29309918	28868194	35021510	23156602	0.661211
100300	101023	29309918	28812651	35713819	22408750	0.627453
100300	101024	29309918	28597387	34897966	23009339	0.659332
100300	101025	29309918	28852980	35177621	22985277	0.653406
100300	101027	29309918	28653956	35256669	22707205	0.644054
100300	101040	29309918	29028325	35270389	23067854	0.654029
100300	101054	29309918	29104255	37033103	21381070	0.577350
