A	B	nA	nB	nU	nI	jaccard
100306	100307	29374442	29123214	35562183	22935473	0.644940
100306	100309	29374442	29070457	35434019	23010880	0.649401
100306	100310	29374442	28959338	35142960	23190820	0.659899
100306	100312	29374442	29206923	34684322	23897043	0.688987
100306	100313	29374442	29053741	35296740	23131443	0.655342
100306	100320	29374442	29474561	36620564	22228439	0.606993
100306	100331	29374442	29108113	35986624	22495931	0.625119
100306	100335	29374442	28741437	37067915	21047964	0.567822
100306	100395	29374442	29063278	35720532	22717188	0.635970
100306	100516	29374442	28638475	35310837	22702080	0.642921
100306	100563	29374442	28620567	34789843	23205166	0.667010
100306	100645	29374442	29331544	35335015	23370971	0.661411
100306	100673	29374442	29085373	35624092	22835723	0.641019
100306	100677	29374442	29090209	35699007	22765644	0.637711
100306	100683	29374442	29177370	35327533	23224279	0.657399
100306	100685	29374442	29318604	35524431	23168615	0.652188
100306	100691	29374442	29198603	35460880	23112165	0.651765
100306	100692	29374442	28736303	34808541	23302204	0.669439
100306	100697	29374442	29669826	35935178	23109090	0.643077
100306	100703	29374442	29016953	35421872	22969523	0.648456
100306	100705	29374442	29111523	35459987	23025978	0.649351
100306	100707	29374442	29018556	35648825	22744173	0.638006
100306	100709	29374442	28690459	35362362	22702539	0.641997
100306	100715	29374442	29418378	37485821	21306999	0.568402
100306	100725	29374442	29406610	36041661	22739391	0.630920
100306	100727	29374442	29128483	36736345	21766580	0.592508
100306	100728	29374442	29175098	35705613	22843927	0.639785
100306	100742	29374442	29702590	34929646	24147386	0.691315
100306	100745	29374442	29019748	35974605	22419585	0.623206
100306	100751	29374442	29168633	35638949	22904126	0.642671
100306	100753	29374442	29142866	35516778	23000530	0.647596
100306	100755	29374442	29081003	35570744	22884701	0.643357
100306	100758	29374442	29124879	35487691	23011630	0.648440
100306	100759	29374442	29090454	35575975	22888921	0.643381
100306	100760	29374442	29410487	34781401	24003528	0.690125
100306	100761	29374442	28951231	36324291	22001382	0.605693
100306	100763	29374442	29283716	35504220	23153938	0.652146
100306	100764	29374442	29277283	34940900	23710825	0.678598
100306	100765	29374442	29113385	35380296	23107531	0.653119
100306	100766	29374442	29400535	34818836	23956141	0.688022
100306	100778	29374442	29171201	37453637	21092006	0.563150
100306	100784	29374442	29266264	35980570	22660136	0.629788
100306	100787	29374442	29031144	35186850	23218736	0.659870
100306	100792	29374442	29368745	36149502	22593685	0.625007
100306	100800	29374442	28702931	35684619	22392754	0.627518
100306	100805	29374442	29195372	35006085	23563729	0.673132
100306	100838	29374442	28848865	35855642	22367665	0.623826
100306	100852	29374442	28883223	36495556	21762109	0.596295
100306	100861	29374442	29116771	36400019	22091194	0.606901
100306	100862	29374442	28928693	37134149	21168986	0.570068
100306	100891	29374442	29266191	36536583	22104050	0.604984
100306	100892	29374442	28960124	36832155	21502411	0.583795
100306	100902	29374442	29028667	37488584	20914525	0.557891
100306	100916	29374442	29209349	35522638	23061153	0.649196
100306	100954	29374442	28683732	35402034	22656140	0.639967
100306	100958	29374442	28731221	35543233	22562430	0.634788
100306	100959	29374442	28963241	35947143	22390540	0.622874
100306	100988	29374442	28508645	35041991	22841096	0.651821
100306	101003	29374442	29035155	35572086	22837511	0.642007
100306	101018	29374442	28868194	35176236	23066400	0.655738
100306	101023	29374442	28812651	35362285	22824808	0.645456
100306	101024	29374442	28597387	35428776	22543053	0.636292
100306	101025	29374442	28852980	35615321	22612101	0.634898
100306	101027	29374442	28653956	35807673	22220725	0.620558
100306	101040	29374442	29028325	35512310	22890457	0.644578
100306	101054	29374442	29104255	37131892	21346805	0.574891
