founder	count	weight
6911	4	0.017316017316017316
9910	2	0.008658008658008658
7143	5	0.021645021645021644
9879	4	0.017316017316017316
9506	1	0.004329004329004329
9555	7	0.030303030303030304
9549	4	0.017316017316017316
9758	4	0.017316017316017316
7347	1	0.004329004329004329
10002	2	0.008658008658008658
6915	2	0.008658008658008658
6945	5	0.021645021645021644
7000	3	0.012987012987012988
7002	4	0.017316017316017316
7003	2	0.008658008658008658
7025	1	0.004329004329004329
7092	3	0.012987012987012988
7346	1	0.004329004329004329
7372	4	0.017316017316017316
7378	3	0.012987012987012988
7127	4	0.017316017316017316
9557	2	0.008658008658008658
6244	6	0.025974025974025976
9837	5	0.021645021645021644
9416	4	0.017316017316017316
8247	1	0.004329004329004329
7316	2	0.008658008658008658
6910	0	0.0
8214	1	0.004329004329004329
6929	3	0.012987012987012988
6938	4	0.017316017316017316
8354	6	0.025974025974025976
6963	2	0.008658008658008658
8387	2	0.008658008658008658
7255	2	0.008658008658008658
9637	1	0.004329004329004329
763	1	0.004329004329004329
7323	3	0.012987012987012988
768	2	0.008658008658008658
9764	3	0.012987012987012988
9992	2	0.008658008658008658
9940	4	0.017316017316017316
9759	4	0.017316017316017316
5811	2	0.008658008658008658
10006	4	0.017316017316017316
9653	4	0.017316017316017316
7411	2	0.008658008658008658
8249	2	0.008658008658008658
159	3	0.012987012987012988
6932	1	0.004329004329004329
7298	1	0.004329004329004329
7063	0	0.0
7186	4	0.017316017316017316
6939	4	0.017316017316017316
7275	4	0.017316017316017316
7288	4	0.017316017316017316
7164	3	0.012987012987012988
9565	3	0.012987012987012988
765	1	0.004329004329004329
6898	1	0.004329004329004329
5784	4	0.017316017316017316
9470	3	0.012987012987012988
9537	3	0.012987012987012988
9594	4	0.017316017316017316
9542	3	0.012987012987012988
9564	3	0.012987012987012988
9518	3	0.012987012987012988
9600	2	0.008658008658008658
772	0	0.0
6150	3	0.012987012987012988
9559	2	0.008658008658008658
6184	3	0.012987012987012988
6958	5	0.021645021645021644
6979	2	0.008658008658008658
766	1	0.004329004329004329
8230	3	0.012987012987012988
8231	3	0.012987012987012988
8351	6	0.025974025974025976
7217	5	0.021645021645021644
9606	4	0.017316017316017316
