ind_id	chrom	start	end	founder
ind001	Chr1	1	30427671	9537
ind002	Chr1	1	30427671	6150
ind003	Chr1	1	301587	6939
ind003	Chr1	301588	30427671	9518
ind004	Chr1	1	30427671	8230
ind005	Chr1	1	2505901	6979
ind005	Chr1	2505902	30427671	9559
ind006	Chr1	1	11952392	9549
ind006	Chr1	11952393	21868093	6938
ind006	Chr1	21868094	22025774	9549
ind006	Chr1	22025775	25547512	6938
ind006	Chr1	25547513	26742782	9549
ind006	Chr1	26742783	30427671	6938
ind007	Chr1	1	21167144	7186
ind007	Chr1	21167145	30427671	9559
ind008	Chr1	1	7466817	7275
ind008	Chr1	7466818	30427671	10006
ind009	Chr1	1	13224322	7323
ind009	Chr1	13224323	30427671	6244
ind010	Chr1	1	23611702	6150
ind010	Chr1	23611703	30427671	9549
ind011	Chr1	1	21410323	8354
ind011	Chr1	21410324	30427671	6244
ind012	Chr1	1	4045981	8247
ind012	Chr1	4045982	23213057	8354
ind012	Chr1	23213058	30427671	8247
ind013	Chr1	1	30427671	8230
ind014	Chr1	1	30427671	5784
ind015	Chr1	1	30427671	7217
ind016	Chr1	1	4285886	6945
ind016	Chr1	4285887	30427671	7127
ind017	Chr1	1	2319018	9879
ind017	Chr1	2319019	22601226	6244
ind017	Chr1	22601227	24206331	9879
ind017	Chr1	24206332	25022772	6244
ind017	Chr1	25022773	30427671	9879
ind018	Chr1	1	30427671	6244
ind019	Chr1	1	22377153	7186
ind019	Chr1	22377154	30427671	7092
ind020	Chr1	1	25015573	6938
ind020	Chr1	25015574	30427671	10002
ind021	Chr1	1	30427671	6945
ind022	Chr1	1	27294279	9416
ind022	Chr1	27294280	30427671	8351
ind023	Chr1	1	11194871	9594
ind023	Chr1	11194872	23098358	10006
ind023	Chr1	23098359	30427671	9594
ind024	Chr1	1	30427671	6958
ind025	Chr1	1	7016482	6945
ind025	Chr1	7016483	24327216	9555
ind025	Chr1	24327217	30427671	6945
ind026	Chr1	1	23211279	9758
ind026	Chr1	23211280	27646918	7372
ind026	Chr1	27646919	30427671	9758
ind027	Chr1	1	11200218	7186
ind027	Chr1	11200219	30427671	9537
ind028	Chr1	1	30427671	7092
ind029	Chr1	1	30427671	9555
ind030	Chr1	1	28538002	9758
ind030	Chr1	28538003	30427671	8351
ind031	Chr1	1	24414929	9542
ind031	Chr1	24414930	30427671	8231
ind032	Chr1	1	24855108	9555
ind032	Chr1	24855109	25713363	7275
ind032	Chr1	25713364	30427671	9555
ind033	Chr1	1	23575151	7000
ind033	Chr1	23575152	29743314	6979
ind033	Chr1	29743315	30427671	7000
ind034	Chr1	1	30427671	9559
ind035	Chr1	1	30427671	8354
ind036	Chr1	1	211861	6938
ind036	Chr1	211862	30427671	9564
ind037	Chr1	1	11289451	8387
ind037	Chr1	11289452	26133944	9764
ind037	Chr1	26133945	30427671	8387
ind038	Chr1	1	6678651	6915
ind038	Chr1	6678652	9238822	7000
ind038	Chr1	9238823	20976886	6915
ind038	Chr1	20976887	25022772	7000
ind038	Chr1	25022773	30427671	6915
ind039	Chr1	1	2661934	8230
ind039	Chr1	2661935	24387825	5784
ind039	Chr1	24387826	25318085	8230
ind039	Chr1	25318086	30427671	5784
ind040	Chr1	1	172843	9542
ind040	Chr1	172844	4002963	9837
ind040	Chr1	4002964	22887846	9542
ind040	Chr1	22887847	30427671	9837
ind041	Chr1	1	13700822	9555
ind041	Chr1	13700823	30427671	5784
