cat	vtype	n_records	pg_present	n_pg_carrier	mean_ac_pg	frac_pg_carrier
V1a	DEL<50	21736	16080	3521	0.7341277143908723	0.16198932646301067
V1a	DEL>=50	20	15	3	0.5	0.15
V1a	INS<50	15756	11437	2634	0.9254887027164255	0.16717440974866718
V1a	INS>=50	1186	832	200	1.0404721753794266	0.16863406408094436
V1a	MNP/other	6866	4773	1092	1.4494611127293913	0.15904456743373144
V1a	SNP	291320	203760	49193	0.9169058080461349	0.16886241933269258
V1b	DEL<50	53306	35504	10542	0.8384234420140322	0.19776385397516227
V1b	DEL>=50	12750	9373	3141	1.0938039215686275	0.24635294117647058
V1b	INS<50	53519	35986	11611	0.9155626973598161	0.21695098936826174
V1b	INS>=50	27613	18843	5894	0.9313004744142251	0.2134501865063557
V1b	MNP/other	144161	81843	22957	0.7041224741781758	0.15924556572165843
V1b	SNP	20379	11401	2961	0.6649001423033515	0.14529662888267333
cactus_only	DEL<50	143584	96293	34053	1.4911201805215066	0.23716430800089147
cactus_only	DEL>=50	19777	14454	6356	2.32492289022602	0.3213834251908783
cactus_only	INS<50	101510	67335	30578	1.9013003644961088	0.30123140577283025
cactus_only	INS>=50	42968	29221	12437	1.7028719046732452	0.28944796127350586
cactus_only	MNP/other	216710	119248	52696	1.8736560380231646	0.24316367495731622
cactus_only	SNP	415928	272143	115747	2.6159431440056933	0.27828614567905985
empty	DEL<50	303	0	0	0.0	0.0
empty	DEL>=50	10	0	0	0.0	0.0
empty	INS<50	68	0	0	0.0	0.0
empty	INS>=50	39	0	0	0.0	0.0
empty	MNP/other	52	0	0	0.0	0.0
empty	SNP	88	0	0	0.0	0.0
shared	DEL<50	153729	106268	93444	28.742423355385124	0.6078488769197744
shared	DEL>=50	9502	6557	5551	20.968006735424122	0.5841928015154704
shared	INS<50	146412	102194	90954	30.667356500833264	0.6212195721662159
shared	INS>=50	11898	7788	6334	11.483778786350648	0.5323583795595899
shared	MNP/other	328821	190320	166192	26.157252730208835	0.5054178413179207
shared	SNP	719127	496119	437640	36.3585583631264	0.6085712259447914
