ind_id	chrom	start	end	founder
ind001	Chr1	1	30427671	9537
ind002	Chr1	1	30427671	7186
ind003	Chr1	1	30427671	6938
ind004	Chr1	1	30427671	9542
ind005	Chr1	1	30427671	6945
ind006	Chr1	1	30427671	9910
ind007	Chr1	1	30427671	9555
ind008	Chr1	1	30427671	7164
ind009	Chr1	1	30427671	8387
ind010	Chr1	1	30427671	6945
ind011	Chr1	1	30427671	9764
ind012	Chr1	1	30427671	6915
ind013	Chr1	1	30427671	7275
ind014	Chr1	1	30427671	6963
ind015	Chr1	1	30427671	7316
ind016	Chr1	1	30427671	9557
ind017	Chr1	1	30427671	159
ind018	Chr1	1	30427671	9416
ind019	Chr1	1	30427671	9555
ind020	Chr1	1	30427671	9758
ind021	Chr1	1	30427671	8351
ind022	Chr1	1	30427671	6979
ind023	Chr1	1	30427671	7275
ind024	Chr1	1	30427671	7378
ind025	Chr1	1	30427671	7217
ind026	Chr1	1	30427671	9537
ind027	Chr1	1	30427671	7164
ind028	Chr1	1	30427671	6963
ind029	Chr1	1	30427671	7378
ind030	Chr1	1	30427671	9555
ind031	Chr1	1	30427671	6958
ind032	Chr1	1	30427671	8387
ind033	Chr1	1	30427671	7002
ind034	Chr1	1	30427671	6244
ind035	Chr1	1	30427671	10006
ind036	Chr1	1	30427671	6945
ind037	Chr1	1	30427671	6150
ind038	Chr1	1	30427671	5784
ind039	Chr1	1	30427671	7164
ind040	Chr1	1	30427671	8354
ind041	Chr1	1	30427671	159
ind042	Chr1	1	30427671	10006
ind043	Chr1	1	30427671	7298
ind044	Chr1	1	30427671	9555
ind045	Chr1	1	30427671	6938
ind046	Chr1	1	30427671	7143
ind047	Chr1	1	30427671	7323
ind048	Chr1	1	30427671	6244
ind049	Chr1	1	30427671	10002
ind050	Chr1	1	30427671	9549
ind051	Chr1	1	30427671	10006
ind052	Chr1	1	30427671	6945
ind053	Chr1	1	30427671	8230
ind054	Chr1	1	30427671	10006
ind055	Chr1	1	30427671	9837
ind056	Chr1	1	30427671	9653
ind057	Chr1	1	30427671	9910
ind058	Chr1	1	30427671	8351
ind059	Chr1	1	30427671	763
ind060	Chr1	1	30427671	9537
ind061	Chr1	1	30427671	9555
ind062	Chr1	1	30427671	7323
ind063	Chr1	1	30427671	7323
ind064	Chr1	1	30427671	8231
ind065	Chr1	1	30427671	10006
ind066	Chr1	1	30427671	7255
ind067	Chr1	1	30427671	7378
ind068	Chr1	1	30427671	6244
ind069	Chr1	1	30427671	9992
ind070	Chr1	1	30427671	8354
ind071	Chr1	1	30427671	9910
ind072	Chr1	1	30427671	9564
ind073	Chr1	1	30427671	6958
ind074	Chr1	1	30427671	10002
ind075	Chr1	1	30427671	9759
ind076	Chr1	1	30427671	9549
ind077	Chr1	1	30427671	6939
ind078	Chr1	1	30427671	7127
ind079	Chr1	1	30427671	7186
ind080	Chr1	1	30427671	9565
ind081	Chr1	1	30427671	9470
ind082	Chr1	1	30427671	9549
ind083	Chr1	1	30427671	766
ind084	Chr1	1	30427671	7025
ind085	Chr1	1	30427671	7143
ind086	Chr1	1	30427671	9759
ind087	Chr1	1	30427671	8247
ind088	Chr1	1	30427671	9564
ind089	Chr1	1	30427671	9542
ind090	Chr1	1	30427671	6244
ind091	Chr1	1	30427671	8351
ind092	Chr1	1	30427671	7127
ind093	Chr1	1	30427671	9992
ind094	Chr1	1	30427671	7372
ind095	Chr1	1	30427671	8231
ind096	Chr1	1	30427671	6945
ind097	Chr1	1	30427671	7143
